name1,name2,label
OCTO,BEVVY,0
ARC SCAN,EL SABAH,0
SECOND REEF DELI,REEF,1
B-RAYZ,BEARAY,1
SWING,MORE SWINGS,1
JUJUBES,JUJUBES,1
BATTLESHIP,DAWN OF THE BATTLESHIP,1
CLEAR-VU LIGHTING,CLEARVUE,1
FLOW60,RUBICON DELI,0
DULCOTEST,KIALIFE,0
CASCADE SPORT,POSITIVE SHARK,0
PEP GAS AND POWER,PD PRECIOUS DELIGHTS,0
OKIE DOKIE,RED TITAN,0
RED THRED,THE RED THREAD,1
ASSASSIN,SICARIO,1
FRACTL,FRACTAL SOFTWARE,1
VETERANS OF FOREIGN WARS AUXILIARY,ELICIOUS HAIR OIL,0
LIQUORS GALORE,SOUTHSIDE,0
SHAUN HURLEY,VERGA,0
COREVITAL,COREVITA,1
TKTX,TKTX,1
BLERDCON,SHINGLE SAVER,0
KRACKEL,SYLVA CHRONO,0
JAY SAREES,JAY SAREES,1
AURA KINGDOM,NEWDAYS,0
SMART EXECUTION SYSTEMS,SMART EXECUTION STARTS HERE,1
FOGG,FOGGZ SOLUTIONS DECIPHERING & SIMPLIFYING SOLUTIONS,1
RS,RS ROADSTER SHOP,1
BABY GREEN BUFFALO HIPPIE · LOVE · FLOWER,SLAPPY,0
CABERNET CARTEL,CARTEL,1
TERRAMAX,RT REDTHREAD RESEARCH,0
LAKOTA MADE,GATEKEEPER INDEMNITY,0
CONTROL GLUCOSE,GOLF THE BODY'S WAY,0
BOOKED & BALANCED,TRAUMA COMICS,0
ENHANCE ARTISTRY,POP ART,0
TILLY'S CLOTHING & SHOES,TILLY TILDEN,1
MARKED,MARKED SAFE,1
TEX REX,AI DIGITAL TWIN,0
HERBAL. HOLISTIC. HEALTH.,HERB HOLISTICS,1
CRL RAPID RESPONSE,RAPID RESPONSE,1
CONDOR,RENT CONDOR,1
"YES, CHEF! BEHIND THE APRON",RESOLVE,0
EVE CHARM,SOUTHERN SHINE AUTO DETAIL PRODUCTS,0
JANUS HENDERSON PORTFOLIO CONSTRUCTION AND STRATEGY PORTAL,JANUS MORTGAGE,1
BITTOUY,BITTOOY,1
QTPIE,MAPLE MAGA,0
PA,PA.,1
CETRA,CITRA,1
AVIVA LABS,WEIGHTFIT,0
LICOS,LIKOES,1
NKE SAFETY APPAREL,ORIGIN SILKY SMOOTH,0
DREAM OCT,DAUPHINE,0
NO - MORE GNATS,LONESTAR FRAGRANCES,0
INVESTORHUB,SEVI,0
ORCHESTRATING FUTURE FUND,FUTUREFUND,1
EMOTIONAL SUPPORT DINOSAUR,EMOTIONAL SUPPORT SHARK,1
NEUTRALL,BIOVEUM,0
KINGSWOOD MORTGAGE,NOVITEC,0
CASA DE HAMSA,HAMSA,1
WECOOK,WHEEKOOK,1
ROSELLI TRADING COMPANY,JULIE'S,0
HAPPY BIRTHDAY,THERMICHEF,0
MR. DELISH,C.T.S,0
FLUMLITE,FLUM FLOAT,1
SUPER FUNNY COMEDY,ZOEFULL,0
SOUTHERN SHINE AUTO DETAIL PRODUCTS,SEASIDE SISTA,0
"GIRL, YOU'RE GOOD ENOUGH!",VIGULIE,0
MOYENO,MOYECEETA,1
LAAS,LAAS LAAS HOLDINGS,1
ITâ€™S CALLED SOCCER,ENHANCED ESTÉTIC,0
CAMBIUM,CAMBIUM ANALYTICA,1
HERETIC,HRERTICS,1
ECO HARMONY PRODUCTS,HOUSE HARMONY,1
Martin Tiffany,75609436,1
A1MOVEMENT,A1MBITION MANAGEMENT,1
LIBERAL TEARS,FLEUR SINCE 1946 MINERAL PAINT ALL SURFACES ARTIST'S ULTRA MATT PAINT,0
RISE,KIDS RISE,1
BAYARD,SUNSYNK MOBILE,0
LLWOK,LWOQXZ,1
MAXI MADE IN BRAZIL,UNBOUND BREWS,0
PRISSY WRIST,BLACKBOXTV,0
ADVANCED SPECIALTY CONTRACTORS,IREX ADVANCED SPECIALTY,1
AOTOOCE,JAY SAREES,0
REALTIST,RENTERS TO RESIDENCES GREATER DAYTON REALTIST ASSOCIATION,1
NO MORE TICKS,VIAN,0
PHAT,PHAT BOTTOMS,1
RIGH SIGN,POWERLAB,0
OOLAA,ICE TIME. EARNED.,0
SMART EXECUTION SYSTEMS,FCEOUL,0
REVVIES,REVVY,1
FCEOUL,AURACAST,0
RELAY GRADUATE SCHOOL OF EDUCATION,PARTYBAG,0
IMMUNOSHIELD,ICHIJIKU,0
DAILY KNEADS,EVERYDAY KNEADS,1
THE JOYFUL NOISE PROJECT,FLYTHINK,0
ZERO,ZERO,1
STRONG HOUSE,KARAK HOUSE,1
EYQ,IQUE,1
LYCHEE GEMS,PRECIOUS,0
SOUNDSAURA,AURA,1
THE BEAUTY QUEEN,BE HOME,0
VR VIE RICHE,BONA FIDE CLOTHING AND LIFESTYLE APPAREL,0
MINGSHANSY,PETLOFT,0
UNDERGROUND FITNESS,UNDERGROUND FITNESS & SELF-DEFENSE,1
STRIDE,STRIDE FINANCIAL,1
GOFUNDME,GOFUNDME GIVING FUND,1
RW ROADWIN,RW,1
MUSIC CITY MAFIA,DRI-TEC,0
GRILLPRO,GOGRILL PRO,1
EVERHOME DESIGNS,YOJIA,0
EGG.PARTY,NANO,0
LUXYLOO,LUXILAV,1
BASIC BOOKS GROUP,MEREO FIBER,0
FURTHER,FURTHER HEALTH,1
HELIVONA,EGGHEADS,0
SHIT SHOW,MEADOWLANDS RACETRACK SEAFOOD FEST,0
VERSION 1,VERSIONS,1
SMASHBIO,LUXEBOLD,0
LOVEBOMB,KLYRO,0
OLGA'S,OLGA'S YODEL  CINNAMON ROLLS,1
BIJBEADS,MORTGAGE CONFIDENCE,0
LUCID,TREE BREEZE,0
HILO NUTRITION,AXIUM CONTINUING EDUCATION,0
GOOD FELLAS ENTERTAINMENT,TRAUMA,0
RAF'S,RAF COFFEE,1
PEARLS MESSAGES WHEN THEY MATTER,MAHA NUTRIENTS,0
"ON-POINT LOGISTICS, LLC HOUSTON, TX",ON POINT RENTAL CARS LLC,1
"FMS FINANCIAL PARTNERS, INC.",FMS,1
CTCS CERTIFIED TAX CONTROVERSY SPECIALIST,EPIK REALTY,0
JASON VOORHEES,JASON VOORHEES,1
DREAM ACADEMY,TAILORED DREAMS ACADEMY,1
THE VAULT,THE VAULT,1
FLEXI,FLEXIHATS,1
AI SCORE,CERTECH USA INC.,0
TOP GUARD,AUDIBEL ARC,0
CETRA,B-RAYZ,0
DERMETIX,DERMATIX,1
PUPA,BLACKHAWK,1
ATLANTIS AZUL,ATLANTIS ROUND TOWERS,1
REPURPOSE YOUR LIFE,MINDHEALING,0
PURETERRA,COMBAT,0
OAKLYN CONSULTING,THE OAKLYN HOME COMPANY,1
PROPELLER INDUSTRIES,INTUITIONNX,0
MOFREE,MOFREE,1
RODA,NEWRODA,1
LIONSTAR ENTERTAINMENT KING OF THE IMAGINATION,DANCE TWO LE MONDE,0
NINE DOG GOLF,ORBITCMD,0
DREAM,DREAM ADULT NOVELTY,1
CAFÉ INDULGE,IQ CHEW,0
TRUSTED NEIGHBOR,REGATTA,0
THE ORIGINAL OLGA,OLGA'S YODEL  CINNAMON ROLLS,1
CALA,CALA UNIVERSE 360,1
EMOTIONAL SUPPORT PALS,EMOTIONAL SUPPORT SHARK,1
TRUE SILYMARIN PLUS,TRUE ASHWAGANDHA,1
IF YOOOU,Í† YOU,1
DX SUITE,INSPIRED MEDICAL WARRIOR,0
AXIOM SCIENCE,TANAGER MEDIAWORKS,0
TIKTOK GENERAL STORE,THE OAKLYN HOME COMPANY,0
AVIV INTERNATIONAL,AVIVA PURE,1
TRISKEL BALANCE,CERTECH,0
NIMBUS,CANTEIN+,0
AM AUTOPARTS,AM PRODUCTS,1
CNATTAGS,CLUTCH,0
CODIGO,CODIGO 069,1
MODO HOME,MODOHAUS,1
BLACK DIAMOND,LOVINGKINDNESS,0
BRUSHZIE,BLISSOO,0
SUNNY DAYS,SUNNY SATURDAYS,1
WUFF,LUMIXA,0
WOOF,WUFFS,1
F3 ENERGY,F3 MOOD,1
HONNEUR,TEMPLE OF FIRE FURY,0
FOGGZ SOLUTIONS DECIPHERING & SIMPLIFYING SOLUTIONS,LUMINOR DUE,0
JANUS TRITON FUND,JANUS MORTGAGE,1
KIDDOS AND MORE,KIDDOSGOODIES,1
CASTOR SOJU,MX-SETAN,0
DANNY GREENE,TALKA,0
HARDIE,HARDY FALL PROTECTION,1
OTTER ROCK,OTTER ROCK IPA,1
BLAKHâ‚¬â‚¬P,HOMLYRIC,0
LOADIQ,LOADY,1
NYRA,DOCK D-FENDER,0
TIDAL,3Z FUNJXHEY,0
RIPPLE,GOLDEN RATIO RIPPLE INDEX (GRRI),1
ZE,DR.ZE,1
UNEEK'D,UNEEK FIND IT,1
BUDGET UNIVERSITY,CATOBYTE,0
DRI-FIT,POLAR HEAT NANUUQ,1
LOVE ON A LEASH PET PROVIDED THERAPY,QUOTEASY,0
LOVE IS BRILLIANT,SOUTHERN DOMESTIC DIVA,0
SALUS SMART CONNECT,VELORA,0
ABOGADOS PARA HISPANOS LLC,LIFE IS STRANGE: TRUE COLORS,0
ORBIRAY,CHALLENGER,0
HOMETOP,HOOMTOP,1
REBUNDLE,KANION FEELS LIKE HOME,0
CALFREE,CALFREE,1
EQUINOX,THE EQUINOX GOLF RESORT & SPA VERMONT,1
ROCHESTER PRIDE,ROCHESTER PRIDE FEST,1
UNDERGROUND FITNESS & SELF-DEFENSE,GREATBRIEF,0
PSYNCUP,REEF REAL ESTATE,0
MYSTIC BINGO,MYSTIC COLLECTION PANDA- LICIOUS,1
PILOT,PILOTCAR,1
DRINK REAL MEZCAL,DRINK REAL,1
APTOS,ZERO,0
RELAY/GSE GRADUATE SCHOOL OF EDUCATION,RELAY HUMAN CLOUD,1
JULIA SANCHEZ,JULIA SANCHEZ,1
CROSS THE LINE,POSITIVELY HEALTHY,0
"SOUTHERNMOST POINT BAR IN THE CONTINENTAL U.S.A. KEY WEST, FLORIDA",SOUTHERNMOST POINT BAR,1
MODELO,CIRCULAR PRO,0
GO JACKPOTS,NIOBIUM PRIVACY CLOUD,0
JANUS CONTRARIAN FUND,JANUS MORTGAGE,1
COLAS DE CASTOR,BUSY BAGS,0
LSC,LSC LOANSOLUTIONCENTER,1
REP METHODS,BUFFALO WING STAR,0
KAMOERS,K KAMOER,1
POCKET TOONS,LIGHTSPEED ELECTRICAL SERVICES,0
EOPUING,EPUYNG,1
UCAIRA,J'ADORE LES FLEURS,0
CASCADE SPORT,CASCADE CBX SPORT,1
TYGER LILLY,SMART KEYBOARD,0
NEUTRAL KITCHEN,WECOLLAB,0
ROC-1,ROC-1,1
COMMA MONEY MONTH,COMMA PARTNERS,1
KLEENEX ON THE GO,ISLE,0
COOL MOTION TECHNOLOGY,TRAVELER COOLMOTION,1
PATHSOCIAL,XIMENG,0
THE K.I.C.K.S CURRICULUM,K.I.C.K.S (KNOWLEDGE IMPACTING CREATIVE KIDS SUCCESS),1
ERGON 3,BLAK CATT,0
LUZSANT,PALESTINE POP,0
MOJO TV,MOJO TRACKS,1
GATEWAY,PROTECT YOUR +3NERGY,0
EYE CLEAN,S SELECT PRECISION ALLOYS,0
OASIS,OASIS,1
METRIC BIO,EVE CHARM,0
DCS,JUBI,0
ANGEL HEAT ANGEL HEAT BED WARMER,STRONG,0
MAHA,MAHA HAWAII,1
HEYLO,HEYLOPLANET HE Y L O,1
JANUS OVERSEAS FUND,JANUS MORTGAGE,1
SABAH,NO. 1 3D LASH GLUE,0
DELICIOUS,DELICIOUS!,1
RIVAL LABEL,COMFY FEET SLEEPING BAG,0
JC INSPIRED DESIGNS,CALA EDITORIALS,0
BRIGHTERWITHLENA,GDSIWA8,0
NOVATECH,NOVITEC,1
ISDOOK,BCTOYS,0
GENTILE STORE,G GENTILE EXCLUSIVE JEWELRY,1
TRIBE 9,PERIOE WHITE ACTION,0
REBECCA BEAUTY,RUIBEIKKA,1
OASIS SENIOR ADVISORS,OUT OF THE TRENCHES,0
SIMBA,ZIMBA,1
TARKOR,MSTAR,0
LOCNVE,LLIKKNVE,1
JB INDUSTRIES,AIR SOURCE,0
ROOST,URBANROOST,1
SOVEREIGN NATURALS,ETHEREAL BEDDING,0
TAG1804,ROCKEFELL GENE,0
MOUNJA BURN,ESTRELLA NEGRA BLACKSTAR,0
M O J A,UNIFURN,0
LEVEL UP AT INOVA,LITTLE SLEEPIES,0
BARXBUDDY,BARK BUDDIEE,1
OCEAN SPARKLE,FLAMEXX,0
WHITE MASS,RADISH FICTION,0
BB BLINGBUY.COM,BLING BUY,1
VENCHI,KEAXINTY,0
TWIN OAST BREWERY,TWIN OAST BREWING EST. 2018,1
TORRIX,NANO CLEANER,0
FUNKY,PURE VISION,0
LUNCH BREAK FREESTYLE,JUSTINIAN SOCIETY,0
LIVIO,LIVIO,1
THE DASHING DOG BOX,GAOQIAN,0
NUTRITION FOR A BETTER LIFE,MATTER NUTRITION FOR LIFE,1
WECOOK,WHEEKOOK,1
VEBEAR,THE COLLECTIVE,0
DASHINGPET,DASHING DOG,1
PAW SPRINGS PET BOUTIQUE,PAWSPRING,1
ARCIS,NEON VOLLEY,0
ABC PALOMA,ABC PUBLISHER,1
RITEU,RITEEU,1
HI-LO,OCTO,0
LIKOES,METRIC,0
NUTRITIONTREE,"LIVE BETTER, LONGER",0
VIFAH,VI-FA,1
ZITY,NODSOLEX,0
BLACK BOX,BLAK BOXX RADIO,1
KAI,CLUTCH,0
GOOD HEMP,GIANFRANCO FERRE,0
LOTUSFIT,PURE AESTHETICA,0
ZOE,ZOEFULL,1
FLUM,EXPANSE MEDICAL,0
ELAN,ROGUE BEARD COMPANY,0
JAKE VITAMINCANDY,VITA CANDY,1
BONFIRE ATL,THE VAULT COFFEE AND CAFE,0
'NDULGE,VIBEARI,0
ON THE GO,ON THE GO DISPOSABLES,1
YODELS,ACTIVEGRIP,0
NIKE,NKE SAFETY APPAREL,1
ALOVAIRE,JADORE FANCY,0
FERTILE MOON TEA,LEVENT,0
AQUA HOME CARE,AQUA HOME HEALTH CARE,1
TIFFANY & CO.,GREATIFFANYY,1
NUTRITION TREE,NUTRITIONTREE,1
OH MY CHEWY,DRI-FIT,0
BIO TOP,BIOTOP,1
ECOSSENTIAL,BONBON BEARS,0
REBORN,RE-BORN SKINCARE,1
AURA SPLASH,AURA NOOTROPICS,1
ROYAL AIRE,BLIRIK,0
BEHOME,FUSION HEALTH,0
BLUEWAVE,ANGRYHOME,0
FOUNDERS OASIS,OASIS FAMILY CARE,0
OURA,AURA,1
OUTROOMS WORLD,OUTEROOM,1
INOVIX,INOVIX,1
TENAMPA AZUL,JOYSHINY,0
NAVYA,NAVYA,1
HAPPY FACE SPONGE,PRECIOUS,0
BEAVERBEADS,BEAVER SCIENTIFIC,1
[Design Mark],[Design Mark],1
HAWK EYE,SOUL WINNER,0
HEALING EMBODIED,AM,0
THE VAULT COFFEE AND CAFE,THE VAULT,1
INTELLIGENT NUTRITIONAL SOLUTIONS,STRONG,0
HILLBETTY,HILLBETTY RADIO PODCAST,1
AMERICAN THREADS,AMERICAN THREADS,1
LOVELYMOON,LOVEMOON,1
PLAYCORE,ACERUN,0
HOPPIN,CC CANINE CASUALS,0
RED THRED,D'LASHES LUXURY LASHES DEFINED,0
PUBLIC WORKS NEW YORK,WEEDLAND,0
MELISSA ESCOBAR ME,DR. GORDON'S TOTAL MIND,0
NATURAL ORGANICS,PLAYCORE,0
JADORE FANCY,J'ADORE,1
BALADI,GIRLY BOOTS,0
HOSPITALITY DESIGNS,TERMS OF SERVICE,0
TIKTOK HERO,HAIJUNYA,0
HOBEA-GERMANY,CAMU CAMU POWER C X 30,0
SAKKIJHA SAKKIJHA,DREAMY DOG,0
ESEMIEE,MEETYOOO,0
BEAUTY GLO,NORDIC HEALTH,0
U UNBOUND ENERGY,MIYOSMART CHAMELEON,0
HEY GIRL,J'ADORE,0
LIULIUBAA,SOLEASY,0
SOUTHERNMOST POINT BAR,BENU,0
WET CLUTCH COFFEE,FORTEMOTUS,0
HEATING BLANKET,HEATED BLANKET THROW,1
OLIGEN,REVVIES,0
AIR BENDER PRO,DEVSECCXOPS,0
LEVEL UP FRESH,LEVEL UP CLOTHING,1
SEA TO GREEN,SEAGREEN,1
JERSEY FRAMES,NEXUS BY CLS,0
CHICKEN IN THE KITCHEN,SUNEAGLE,0
SAGE AI,BE BESAGE.AI,1
SPERO SUR MER,SPERO LEATHER,1
REFRAME IT!,BREAKTHROUGH REFRAME,1
GO BEYOND,REBECCA Q,0
ACERVUS,ACERVUS BRANDS,1
SYNTHETIK INSURANCE TECHNOLOGIES,SYNTHETIK,1
WAIVSENSE,NAMASTE APARTMENTS,0
BOX BOX COFFEE,BOXBOX,1
VICTORY,VICTORY VEHICLES,1
LAVA,AI,0
LTATM,LTATM,1
AM,AM-7,1
CLIMET,CLIMIT,1
VAULT,THE VAULT,1
ENDLESS SUNDAY,ENDLESS SUNDAYS,1
MIYOSMART CHAMELEON,DULCE DI LACE,0
JULIANA SANCHEZ,PEARL,0
ETERNA.,ETERNABEAUTY,1
SYMPHONY,THE DROP FUNDING BUSINESS CAPITAL LENDING SOLUTIONS,0
B1 BLUE STRIKE,BLUE STRIKE,1
VERSA-LOK,CLEVELANDER,0
HIGH PLAINS BISON,HIGH PLAINS STEAKHOUSE,1
TORRIX,TORIX,1
KAI,KAI SOCIAL,1
COCO FURNITURE GALLERY,COCO HOME,1
POCKET ANGELS,POCKET JESUS,1
UNRIVALED,UNRIVALED AUTHENTICS,1
YUMMY HAMO,YUMMEE,1
DOÒ BIBIS,HAOSEE,0
BRICKCITY STRENGTH,MUSAFIR,0
LAM,XIAOMI DASHENG LAM,1
IGPS,ENDLESS SUNDAYS,0
LOTUSFIT,TAOYUAN,0
ZIPPY,ZIP-KIT,1
STELLAR ADORN,TAP THRU,0
ORACLE JAYNE STATION,ACCELERATE YOUR FOCUS,0
COOL GREENZ,MOEKIF,0
LUNA FIT,VKYN,0
NIKE,NKE SAFETY APPAREL,1
VITA BLOOM LABS,AZUL,0
DEEP CUT,AIKOFUL,0
"FLIP IT, GRIP IT, AND RIP IT",PLATING,0
QURE,QUREOS,1
REPTILE ISLE,PET ISLE,1
COUNTRY CONNECTED,KOUNTRY KONNECTION,1
AURA SALONWARE,WANNACOLLAB,0
NEXGEN,NEXGEN PETROLEUM,1
SABAH,JANNATY SABAH,1
EVGATEWAY,MOTORSPORTS GATEWAY,1
JANUS OVERSEAS FUND,BLUE MOON HERBAL PRODUCTS,0
STELLAR BIOME,PATHSOCIAL,0
& ONE STRATEGY GROUP,QBT,0
SILK,BLACKBOXTV,0
DRI-TECH,RICA,0
EVE CHARM,ROBOROCK,0
ZONAZOO,EO,0
NET SUSTAIN,VIBING ENERGY VVV VVV,0
PLAY MONEY,PLAY MONEY NIL,1
G-SEAL,G SEAL GUARD,1
FLUM,FLUM BOX,1
UNIVERSAL,UNIVERSAL HOLISTIC ENTERPRISES,1
DREAM COSMETICS,TRUMASK,0
WHITE MASS,DULCOTEST,0
TÜRM,VERBOSITY V CREATIVE SOLUTIONS,0
MYSTIC SLOTS,MYSTIC COLLECTION WINGED CHARM,1
DRI-TEC,DRI-TECH,1
ZELUS,ZELOS,1
LAAS,LAAS,1
DIEM,NATURESOURS,0
VROOM,VROOMJOY,1
BAYARD MUSIC,NÅªLOGIK,0
BARISTA IN A BOX,OKIE DOKIE,0
ESEMIEE,EZZOMY,1
LOADIQ,LOADY,1
BEBE,COPACABANA,0
THE HAIR LAB BY STRANDS,STRAND,1
WHAT THE FAITH PODCAST,THE FAITH PODCAST,1
PUBLIC WORKS NEW YORK,M2POINT,0
VEEXIO,VEXIO,1
BADLANDER,BADLANDER,1
FLUM BOX,FLUM FLOAT,1
RODA,NEWRODA,1
A1MOVEMENT,A1MBITION MANAGEMENT,1
PLANET,KAWAKEB,1
ETERNAL,ETERNABEAUTY,1
OAKLYN,THE OAKLYN HOME COMPANY,1
SAC,SAC,1
EQUINOX,THE EQUINOX GOLF RESORT & SPA VERMONT,1
ELEMENTA,ELEMENTA,1
SALUS SOLO,VITA CANDY,0
HISETEC,HISITEK,1
ANICO,ATLANTIS AQUA,0
ROSE RELIEF,"CHI RHO FRATERNITY, INC. APX PHA EN TOPS TO NIKA",0
MEDISKN,BIOTOPLEVEL,0
STAY BLESSED,TURQUOISE ENVIRONMENTAL,0
ALPHA TAIL SUPPLIES,BAMBOO SOFT,0
ACE,ACE & CO,1
CLEAN WITHOUT COMPROMISE,PIGEON,0
HELIX THE DNA OF AUTOMATION,VS,0
NIKE,NKE SAFETY APPAREL,1
CULTURAL BOUTIQUE,R.O.K.A,1
KEYSTONE'S MAC SHACK MAC+CHEESE BAR,COCO DELISH,0
TIKTOK GENERAL STORE,PURE AESTHETICA,0
SIMPLETEC,HALOVAPE,0
JD VUHPA,CANELO,0
FROZEN BEAUTY,M PAY NETWORK,0
HOP CARTEL,CARTEL,1
TIDAL BLISS,TIDAL POSEIDON,1
THE RIGHT WAY - NOT GUILTY NUTS,NOT GUILTY,1
VIBES,THE CANDY TREE,0
WHERE STRATEGY MEETS EXECUTION,MOURITECH,0
FITINY,CA CLASSIC ARMY,0
TASTE OF THE SOUTH,SEA HAG,0
GOVAI,LONGZON,0
NHUQX,EAGLES,0
LETSFIT,1ETSFIT,1
POWERED LABS,SOLE SURF COMPANY,0
BIOHACK,BIOHACK WORLD,1
JIAAO,JIAAO,1
A1MOVEMENT,EMBODY,0
BENIX,MB,0
CASA SOLANA,FOR ALL OCCASIONS,0
ABSOLUTE ELECTRICAL SERVICE INC,CIRCULAR PRO,0
SKY TING YOGA,SKY YOGA & COFFEE,1
MELT CHOCOLATIER,MOJO,0
OAKLINS,THE OAKLYN HOME COMPANY,1
D.M.I.,"ONE BRAIN, ONE CHOICE",0
REJUVA,REJUVACARE,1
SNACKERJACK,TIK TOK MAN,0
WE MAKE IT EASY,RIGHT PRODUCTS. RIGHT NOW.,1
FRACTALGO,FRACTAL SOFTWARE,1
TRINITY CYBER,ZAAR,0
MSAUSYR,MSAUWH,1
BRIOSA WINE SELTZER,ZUBII,0
DOGGIE DIPPERS,DOGGIEDIPZ PAWSITIVELY PROBIOTIC,1
"DIVIN DEEP DIVE INTO SPARKLING WATER & SAUVIGNON BLANC TASTES LIKE WINE, REFRESHES LIKE WATER",DIVIN,1
BOSANI,BOSONNI,1
RED GLASS,SOUNDSAURA,0
BIOHAK,BIOHACK WORLD,1
FLUX POWER,MX-3,0
WEIGHT SOLES,WEIGHTFIT,1
ACERVUS BRANDS,HYPERMIG,0
[Design Mark],[Design Mark],1
BUSINESS BESTIE,BUSINESS BESTIE COLLECTIVE,1
TRISKELE,TRISKEL BALANCE,1
FUTUREFUND,PAVIA HOME,0
FR FRIENDS & ROSES FLOWER STUDIO,DANCING TAIL,0
VS,V&S,1
FLUM MELLO,FLUM CAKE,1
ACTION FITNESS,DRI-TECH,0
[Design Mark],[Design Mark],1
POSEIDON,TIDAL POSEIDON,1
AURA NOOTROPICS,EM ESTHETICIAN MENTORSHIP,0
MYSTIC,MYSTIC COLLECTION,1
ECOSSENTIAL,EKO-ZENTIALS,1
ASIA,NATURESOURS,0
MELISSA ESCOBAR ME,MELISSA,1
BEST IN BUSINESS,BEST BUSINESS,1
LEVEL UP STUDIO SUITES,AILOVORE,0
SIMPLE ROOTS,SAPHIR,0
FLUMLITE,FLUM CAKE,1
EQUINOX,THE EQUINOX GOLF RESORT & SPA VERMONT,1
NO. 1 3D LASH,AINID,0
LUCKTIME,T TRAYT,0
LOOKWOILD,LOOKWILD,1
VITA CANDY,COED ATHLETIC DEPARTMENT,0
PALETTE,PEPPY PALETTE,1
LIFEIX,LYFIEX,1
THE CHRISTIAN ART STORE,PROSPERA,0
ANKER SOLIX,OPTISOLEX,1
TRUSTCENTER/ENTERPRISE,TELECOM TRUST CENTER,1
YUDON,BE HOME DESIGNS,0
KIDDOBLOOM,KIDBLOOM,1
BLACK HAWK,BLACKHAWK,1
DR.RUOT,DR.ROUTE,1
HOLOHOLO SURF,U UNBOUND ENERGY,0
AE,[Design Mark],1
HANA DELITE,HANAA,1
BLUE BLUE,BLU BLU,1
CORA,TROPIC OF CAPRICORN,0
T TILDEN DESIGNS,LAC,0
MEREO NETWORKS,REDLINE ROYALE,0
FISKER OCEAN,HEAVY CALIBER,0
MLE,MLECAT,1
AGE GRACEFULLY,CORTO A NEW WORLD OF FRESH,0
GRAIN WOOD FURNITURE,TACTIX,0
VELLUS AUREUM,TRULOG,0
TREES OF HOPE BOYD,K H,0
XIXIBOUTIQUE,INTERBRAND ACCELERATOR,0
ZEN,ZEN BELL,1
FOLIUM SCIENCE,FOLIUM PX,1
OPERATION IRON RUCK A AU ROAD TO THE IRON BOWL,BIOTOP,0
BEAUTY GLO,CARVIEW,0
LIBERAL TEARS,TEARS OF THE LEFT,1
UNBOUND SPIRITS,ABOLIN,0
SOJRO,DS,0
USPS,LOCAL SAVERS,1
HR HANDCRAFT RUGS,FURNITEC,0
SPERO,SPERO LEATHER,1
VENTUROUS,INSIEME,0
LYFIEX,CREAGUMS,0
J'ADORE ROSÉ,BUDGET NOW BUY LATER,0
EXCELL,EXELCO DIAMOND,1
NIPSEY BLUE,NIPSEYLAND!,1
NOVATECH,NOVITEC,1
BEAUTY ETERNAL,EMPEROR,0
X FITNEXT,FITNEXT,1
WE ALL RICH W.A.R.,WE RICH,1
FRENCHMAN'S REEF,REEF,1
PACIFIC CREST,PACIFICCREST,1
LIESL,CHEZ LISEL,1
A STARTING POINT,HK SIGN,0
GROWTH ACCELERATOR,PHYSICIAN GROWTH ACCELERATOR,1
H.E.R. HAVING EVERYTHING REVEALED,THE H.E.R. EXPERIENCE,1
MUSHEE COSMETICS M,POPPIP,0
WHITNEY MARIEL,CORA,0
RIGHT PRODUCTS. RIGHT PLACE. RIGHT NOW.,BERCO,0
KINGSWOOD,ROYAL PET BOX,0
S SELECT PRECISION ALLOYS,WAVESENSE,0
WET CLUTCH COFFEE,4 COMMA COLLECTIVE,0
AUTUMN SUPPLY,VITALITYMATRIX,0
UNPOPULAR URBAN ACTIVEWEAR,VERBOSITY V CREATIVE SOLUTIONS,0
RON MERITO,CLEARVIEW,0
BIBI FRUTIX,DOÒ BIBIS,1
WEVERSE,WEAVERSE,1
DREAM OCT,IREX ARGUS CONTRACTING,0
STAY RAD,STAY RADICAL,1
TURYAL,SPERO LEATHER,0
NIRA HEALTH,NYRA THERAPY,1
TOUGH RUCK,ELIXIR MD,0
INSPIRING LEADERS,BEHOME,0
SEE BETTER. LIVE BETTER.,SEE BETTER. LOOK BETTER. LIVE BETTER.,1
LUNA FIT,ACCOMPLICE,0
BLOOM,BLOOMVITA,1
GMELOV,GIMMELOVE,1
COSMINA,COSIMEA,1
BI BRING IT ATHLEISURE,WIPOP,0
THE MORTGAGE ELIMINATOR,CHERRY MOON FARMS,0
INFINITYLAB,INFTYLAB,1
ZYRKUIT,THE WORLD'S FIRST HAIR VITAMIN IN A PLANT-BASED GUMMY BEAR,0
JUBES,IMMUBOOST,0
LEAH JORGENSEN CELLARS,LEIA,1
PETA,PETAHEAD,1
META,METAVAPE,1
CLEARVIEW,CLEARVUE,1
DM-I,CODIGO,0
[Design Mark],[Design Mark],1
HERGE,CALHOUN,0
PUBLIC WORKS 1ST RESPONDERS,PAW-SKINS,0
EXPECTATION,STRIDE BANK,0
NOWLOGY,NOWLOGY,1
LIFEIX,LIP PUKERS,0
JUBY,JUBI,1
RT REDTHREAD RESEARCH,SEVI,0
VIDVIS,RESTAURANT DIVA,0
ORIGINAL HEALING THREADS,MECH NOVIA,0
SOUL MEDICINE,SOUL PERFORMANCE NUTRITION,1
BESTFRIENDED,VERBOSITY V CREATIVE SOLUTIONS,0
